Tamaño,TiempoPromedio(ms),,,,,
10,0.0001814,,,,,
20,0.0004532,,,,,
30,0.0008575,,,,,
40,0.0013686,,,,,
50,0.0020332,,,,,
60,0.0031787,,,,,
70,0.0037491,,,,,
80,0.0047711,,,,,
90,0.0059893,,,,,
100,0.0073592,,,,,
110,0.0086644,,,,,
120,0.0103535,,,,,
130,0.0119471,,,,,
140,0.0157565,,,,,
150,0.016692,,,,,
160,0.018296,,,,,
170,0.0205578,,,,,
180,0.0227056,,,,,
190,0.0277208,,,,,
200,0.0274048,,,,,
210,0.0322074,,,,,
220,0.0364846,,,,,
230,0.0391068,,,,,
240,0.0408217,,,,,
250,0.0454097,,,,,
260,0.0503189,,,,,
270,0.0511428,,,,,
280,0.0560694,,,,,
290,0.0615351,,,,,
300,0.0639586,,,,,
310,0.0672685,,,,,
320,0.073865,,,,,
330,0.0776843,,,,,
340,0.0828925,,,,,
350,0.111244,,,,,
360,0.117905,,,,,
370,0.104778,,,,,
380,0.101411,,,,,
390,0.104783,,,,,
400,0.11231,,,,,
410,0.115089,,,,,
420,0.121154,,,,,
430,0.128684,,,,,
440,0.132227,,,,,
450,0.146021,,,,,
460,0.144776,,,,,
470,0.155817,,,,,
480,0.164231,,,,,
490,0.165838,,,,,
500,0.17463,,,,,
510,0.180009,,,,,
520,0.185813,,,,,
530,0.194831,,,,,
540,0.206504,,,,,
550,0.214667,,,,,
560,0.220072,,,,,
570,0.230322,,,,,
580,0.229598,,,,,
590,0.241519,,,,,
600,0.243792,,,,,
610,0.253508,,,,,
620,0.257441,,,,,
630,0.27306,,,,,
640,0.273816,,,,,
650,0.285891,,,,,
660,0.314914,,,,,
670,0.329751,,,,,
680,0.34423,,,,,
690,0.340884,,,,,
700,0.36843,,,,,
710,0.363434,,,,,
720,0.378542,,,,,
730,0.404514,,,,,
740,0.375317,,,,,
750,0.403556,,,,,
760,0.40393,,,,,
770,0.420629,,,,,
780,0.41136,,,,,
790,0.441936,,,,,
800,0.46778,,,,,
810,0.469015,,,,,
820,0.470287,,,,,
830,0.490813,,,,,
840,0.498471,,,,,
850,0.510481,,,,,
860,0.585843,,,,,
870,0.559414,,,,,
880,0.564875,,,,,
890,0.586497,,,,,
900,0.582893,,,,,
910,0.596326,,,,,
920,0.61937,,,,,
930,0.641091,,,,,
940,0.644043,,,,,
950,0.723595,,,,,
960,0.682001,,,,,
970,0.697596,,,,,
980,0.697001,,,,,
